metric,value
method,Thin-plate regression spline (GAM REML)
source_crs,WGS 84 / UTM zone 43N (EPSG:32643)
resolution_m,20
grid_cells,10142
minimum_dem_elevation,2.25099442696639
mean_dem_elevation,11.8266227734683
maximum_dem_elevation,30.8591897525038
median_prediction_se,1.51886148533808
