Easting,Northing,Elevation_DEM,Prediction_SE,longitude,latitude
277380,2110700,3.959661359217464,2.7473306616162145,72.88424793410964,19.07707937567611
277400,2110700,4.051356117342979,2.7974802936851355,72.88443791547823,19.07708155661855
277420,2110700,4.135853218845878,2.8496623354488535,72.8846278968727,19.07708373736547
277440,2110700,4.211818353956722,2.9028011369152362,72.88481787829306,19.077085917916865
277460,2110700,4.277695549460392,2.955464298101205,72.88500785973929,19.077088098272757
277480,2110700,4.331546811032887,3.005735575839923,72.88519784121138,19.077090278433122
277500,2110700,4.370717195768703,3.050946546796967,72.88538782270936,19.07709245839797
277520,2110700,4.391151043513227,3.087124522187335,72.8855778042332,19.077094638167306
277540,2110700,4.387686730541754,3.1093367267962635,72.8857677857829,19.07709681774112
277560,2110700,4.360503103949714,3.1174518071252955,72.88595776735849,19.07709899711942
277260,2110720,3.365521944055755,2.4343304589666315,72.88310575121955,19.077246914106297
277280,2110720,3.4784770667447185,2.4598774653226796,72.8832957326384,19.077249096244042
277300,2110720,3.5905095600135577,2.4889688105224717,72.88348571408316,19.077251278186274
277320,2110720,3.700659682648267,2.521755311000755,72.8836756955538,19.077253459932987
277340,2110720,3.807937074560869,2.5583009372205248,72.88386567705035,19.077255641484182
277360,2110720,3.911319364388533,2.5985417165384055,72.88405565857279,19.077257822839854
277380,2110720,4.009746353202253,2.6422441590008985,72.88424564012111,19.077260004000014
277400,2110720,4.102107542150588,2.6889657664008877,72.8844356216953,19.077262184964653
277420,2110720,4.187219311460715,2.738017244336222,72.88462560329539,19.077264365733765
277440,2110720,4.263785087555209,2.788421644772249,72.88481558492134,19.07726654630737
277460,2110720,4.330325141038796,2.838858524624381,72.88500556657318,19.07726872668545
277480,2110720,4.385045063108068,2.8875658235567583,72.88519554825089,19.077270906868012
277500,2110720,4.425553489993755,2.9321240482754876,72.88538552995448,19.077273086855058
277520,2110720,4.448037247682727,2.9687983776033158,72.88557551168394,19.077275266646577
277540,2110720,4.443472632537378,2.989434959526948,72.88576549343927,19.07727744624258
277560,2110720,4.411915679794786,2.9936976333496017,72.88595547522044,19.077279625643065
277580,2110720,4.363200898990432,2.989840818513371,72.8861454570275,19.07728180484803
277140,2110740,2.7604043068254964,2.273638476369505,72.8819635667685,19.077414445227454
277160,2110740,2.8603128470484345,2.282552763386026,72.88215354823757,19.077416628560535
277180,2110740,2.96441478036087,2.293141155005983,72.88234352973252,19.0774188116981
277200,2110740,3.071998799476374,2.3056373604762754,72.8825335112534,19.07742099464014
